te_id,te_band,te_psi,te_chr_start,te_chr_end,te_lrg_start,te_lrg_end,te_meta_start,te_meta_end,te_psi_dcm,te_psi_gtex,te_phase,te_symmetry,te_domain,te_ensembl_id
65,I-band,13,179594293,179594015,106237,106515,18590,18868,8,22,1,S,Ig-like 40,ENSE00002219989
66,I-band,8,179593896,179593618,106634,106912,18869,19147,4,13,1,S,Ig-like 41,ENSE00002217189
67,I-band,11,179593505,179593227,107025,107303,19148,19426,7,18,1,S,Ig-like 42,ENSE00002228547
68,I-band,10,179593124,179592837,107406,107693,19427,19714,6,17,1,S,Ig-like 43,ENSE00002205916
69,I-band,12,179592590,179592312,107940,108218,19715,19993,6,19,1,S,Ig-like 44,ENSE00002213225
70,I-band,66,179592098,179591817,108432,108713,19994,20275,52,69,1,S,Ig-like 45,ENSE00002244088
71,I-band,54,179590773,179590495,109757,110035,20276,20554,46,61,1,S,Ig-like 46,ENSE00002319025
72,I-band,53,179590376,179590095,110154,110435,20555,20836,46,59,1,S,Ig-like 47,ENSE00002292392
73,I-band,35,179589265,179588987,111265,111543,20837,21115,26,49,1,S,Ig-like 48,ENSE00002254911
74,I-band,36,179588870,179588583,111660,111947,21116,21403,25,51,1,S,Ig-like 49,ENSE00002294211
75,I-band,41,179588423,179588145,112107,112385,21404,21682,34,55,1,S,Ig-like 50,ENSE00002290360
76,I-band,39,179588051,179587773,112479,112757,21683,21961,32,55,1,S,Ig-like 51,ENSE00002310869
77,I-band,56,179587664,179587386,112866,113144,21962,22240,56,76,1,S,Ig-like 52,ENSE00002204907
78,I-band,40,179587273,179586986,113257,113544,22241,22528,33,61,1,S,Ig-like 53,ENSE00002250285
79,I-band,47,179586861,179586574,113669,113956,22529,22816,35,65,1,S,Ig-like 54,ENSE00002270758
80,I-band,49,179585929,179585648,114601,114882,22817,23098,41,76,1,S,Ig-like 55,ENSE00002316014
81,I-band,50,179585390,179585112,115140,115418,23099,23377,41,75,1,S,Ig-like 56,ENSE00002322814
82,I-band,54,179584991,179584710,115539,115820,23378,23659,46,76,1,S,Ig-like 57,ENSE00002234590
83,I-band,55,179584559,179584281,115971,116249,23660,23938,48,77,1,S,Ig-like 58,ENSE00002293411
84,I-band,10,179584178,179583891,116352,116639,23939,24226,7,37,1,S,Ig-like 59,ENSE00002251308
85,I-band,8,179583700,179583422,116830,117108,24227,24505,3,29,1,S,Ig-like 60,ENSE00002272477
86,I-band,6,179583327,179583049,117203,117481,24506,24784,4,28,1,S,Ig-like 61,ENSE00002215710
87,I-band,6,179582948,179582670,117582,117860,24785,25063,4,35,1,S,Ig-like 62,ENSE00002227817
88,I-band,6,179582537,179582250,117993,118280,25064,25351,4,33,1,S,Ig-like 63,ENSE00002283786
89,I-band,11,179582109,179581822,118421,118708,25352,25639,8,37,1,S,Ig-like 64,ENSE00002264489
90,I-band,58,179580501,179580220,120029,120310,25640,25921,59,79,1,S,Ig-like 65,ENSE00002273672
91,I-band,61,179579991,179579713,120539,120817,25922,26200,54,81,1,S,Ig-like 66,ENSE00002250660
92,I-band,64,179579300,179579019,121230,121511,26201,26482,60,83,1,S,Ig-like 67,ENSE00002226172
93,I-band,68,179578902,179578624,121628,121906,26483,26761,62,85,1,S,Ig-like 68,ENSE00002296287
94,I-band,68,179578099,179577812,122431,122718,26762,27049,60,85,1,S,Ig-like 69,ENSE00002263863
95,I-band,68,179577702,179577424,122828,123106,27050,27328,64,85,1,S,Ig-like 70,ENSE00002209266
96,I-band,70,179577320,179577042,123210,123488,27329,27607,63,85,1,S,Ig-like 71,ENSE00002267930
97,I-band,70,179576949,179576671,123581,123859,27608,27886,61,84,1,S,Ig-like 72,ENSE00002259746
98,I-band,70,179576076,179575789,124454,124741,27887,28174,66,87,1,S,Ig-like 73,ENSE00002264829
99,I-band,74,179575649,179575362,124881,125168,28175,28462,66,87,1,S,Ig-like 74,ENSE00002208403
100,I-band,77,179574583,179574293,125947,126237,28463,28753,69,87,1,S,Ig-like 75,ENSE00002265461
101,I-band,81,179572540,179572253,127990,128277,28754,29041,72,90,1,S,Ig-like 76,ENSE00002269077
102,I-band,80,179571681,179571589,128849,128941,29042,29134,72,88,1,S,Ig-like 77,ENSE00002265076
103,I-band,82,179571466,179571181,129064,129349,29135,29420,75,89,2,A,Ig-like 77,ENSE00002291660
104,I-band,82,179570084,179569901,130446,130629,29421,29604,76,90,0,A,,ENSE00002278104
105,I-band,82,179569693,179569604,130837,130926,29605,29694,75,90,0,S,,ENSE00002289826
106,I-band,79,179569504,179569237,131026,131293,29695,29962,70,90,1,A,,ENSE00002295649
107,I-band,81,179569134,179568874,131396,131656,29963,30223,73,90,1,S,Ig-like 78,ENSE00002225382
108,I-band,82,179567390,179567181,133140,133349,30224,30433,74,91,1,S,Ig-like 79,ENSE00002530543
109,I-band,84,179566972,179566895,133558,133635,30434,30511,74,92,1,S,Ig-like 79,ENSE00002469691
110,I-band,85,179566793,179566767,133737,133763,30512,30538,74,91,1,S,,ENSE00002451269
111,I-band,87,179566314,179566255,134216,134275,30539,30598,80,93,1,S,,ENSE00002519033
112,I-band,87,179565930,179565847,134600,134683,30599,30682,82,93,1,S,,ENSE00002534190
113,I-band,85,179563641,179563570,136889,136960,30683,30754,80,91,1,S,,ENSE00002490700
114,I-band,83,179561895,179561848,138635,138682,30755,30802,75,90,1,S,,ENSE00002436853
115,I-band,84,179560996,179560592,139534,139938,30803,31207,74,85,1,S,,ENSE00002433764
116,I-band,83,179560137,179560075,140393,140455,31208,31270,75,88,1,S,,ENSE00002528953
117,I-band,75,179559633,179559556,140897,140974,31271,31348,63,85,1,S,,ENSE00002505442
118,I-band,74,179559403,179559326,141127,141204,31349,31426,59,85,1,S,,ENSE00002445463
119,I-band,66,179558735,179558649,141795,141881,31427,31513,57,79,1,S,,ENSE00002488853
120,I-band,63,179558416,179558336,142114,142194,31514,31594,56,79,1,S,,ENSE00002239511
121,I-band,64,179557307,179557224,143223,143306,31595,31678,58,79,1,S,PEVK 1,ENSE00002209806
122,I-band,58,179556826,179556743,143704,143787,31679,31762,54,76,1,S,PEVK 2,ENSE00002228389
123,I-band,83,179554623,179554540,145907,145990,31763,31846,78,88,1,S,PEVK 3,ENSE00002214478
124,I-band,29,179554322,179554242,146208,146288,31847,31927,22,45,1,S,PEVK 4,ENSE00002250539
125,I-band,33,179554100,179554017,146430,146513,31928,32011,25,46,1,S,PEVK 5,ENSE00002205022
126,I-band,22,179553863,179553780,146667,146750,32012,32095,15,37,1,S,PEVK 6,ENSE00002305171
127,I-band,24,179553505,179553404,147025,147126,32096,32197,15,33,1,S,,ENSE00002209822
128,I-band,38,179552951,179552838,147579,147692,32198,32311,28,47,1,S,,ENSE00002203237
129,I-band,46,179550325,179550245,150205,150285,32312,32392,28,48,1,S,,ENSE00002290304
130,I-band,27,179550057,179549980,150473,150550,32393,32470,9,38,1,S,,ENSE00002264329
131,I-band,17,179549716,179549633,150814,150897,32471,32554,10,25,1,S,PEVK7,ENSE00002220011
132,I-band,18,179549476,179549393,151054,151137,32555,32638,6,25,1,S,PEVK8,ENSE00002311283
133,I-band,15,179549140,179549057,151390,151473,32639,32722,10,21,1,S,,ENSE00002273722
134,I-band,19,179548809,179548726,151721,151804,32723,32806,12,25,1,S,PEVK9,ENSE00002310144
135,I-band,37,179548018,179547938,152512,152592,32807,32887,26,43,1,S,,ENSE00002324510
136,I-band,84,179547630,179547424,152900,153106,32888,33094,76,86,1,S,,ENSE00002305619
137,I-band,83,179546465,179546388,154065,154142,33095,33172,77,87,1,S,,ENSE00002237772
138,I-band,4,179546177,179546103,154353,154427,33173,33247,4,7,1,S,,ENSE00002297407
139,I-band,2,179545898,179545806,154632,154724,33248,33340,1,5,1,S,,ENSE00002257241
140,I-band,1,179545058,179544981,155472,155549,33341,33418,1,5,1,S,,ENSE00002232508
141,I-band,1,179544782,179544621,155748,155909,33419,33580,1,5,1,S,,ENSE00002220836
142,I-band,1,179544409,179544326,156121,156204,33581,33664,1,6,1,S,PEVK10,ENSE00002515886
143,I-band,2,179544143,179544066,156387,156464,33665,33742,2,6,1,S,PEVK11,ENSE00002259843
144,I-band,82,179543557,179543474,156973,157056,33743,33826,74,88,1,S,PEVK12,ENSE00002296852
145,I-band,80,179543224,179543141,157306,157389,33827,33910,69,83,1,S,PEVK13,ENSE00002206368
146,I-band,80,179542935,179542852,157595,157678,33911,33994,68,86,1,S,PEVK14,ENSE00002254827
147,I-band,2,179542644,179542348,157886,158182,33995,34291,2,10,1,S,,ENSE00002290559
148,,1,179542014,179541928,158516,158602,34292,34378,2,7,1,S,,ENSE00002785187
149,I-band,3,179540722,179540648,159808,159882,34379,34453,3,11,1,S,,ENSE00002209742
150,,1,179540481,179540398,160049,160132,34454,34537,1,5,1,S,,ENSE00002821339
151,I-band,20,179539840,179539766,160690,160764,34538,34612,20,21,1,S,,ENSE00002285023
152,I-band,77,179539136,179539041,161394,161489,34613,34708,54,79,1,S,,ENSE00002304490
153,I-band,68,179538437,179538360,162093,162170,34709,34786,48,75,1,S,,ENSE00002323432
154,I-band,16,179537430,179537362,163100,163168,34787,34855,10,27,1,S,,ENSE00002279381
155,I-band,3,179537208,179537134,163322,163396,34856,34930,3,14,1,S,,ENSE00002259583
156,I-band,3,179536994,179536698,163536,163832,34931,35227,2,11,1,S,,ENSE00002301537
157,I-band,6,179535897,179535817,164633,164713,35228,35308,5,16,1,S,PEVK15,ENSE00002447406
158,I-band,50,179535022,179534945,165508,165585,35309,35386,30,66,1,S,PEVK16,ENSE00002431933
159,,2,179534402,179534319,166128,166211,35387,35470,1,6,1,S,,ENSE00002499465
160,,1,179534174,179534100,166356,166430,35471,35545,1,7,1,S,,ENSE00002928040
161,,2,179532448,179532365,168082,168165,35546,35629,3,6,1,S,,ENSE00002945907
162,,2,179532252,179532169,168278,168361,35630,35713,2,5,1,S,,ENSE00002778077
163,,1,179532046,179531963,168484,168567,35714,35797,1,5,1,S,,ENSE00002858877
164,,1,179531628,179531551,168902,168979,35798,35875,0,5,1,S,,ENSE00001511801
165,,3,179530518,179530435,170012,170095,35876,35959,3,6,1,S,,ENSE00002930137
166,,2,179530187,179530104,170343,170426,35960,36043,3,5,1,S,,ENSE00001511800
167,,3,179529653,179529579,170877,170951,36044,36118,2,5,1,S,,ENSE00001511799
168,,2,179529464,179529381,171066,171149,36119,36202,3,9,1,S,,ENSE00002443715
169,,2,179529264,179529187,171266,171343,36203,36280,2,7,1,S,,ENSE00001511797
170,,3,179528825,179528742,171705,171788,36281,36364,2,8,1,S,,ENSE00002503185
171,,2,179528629,179528546,171901,171984,36365,36448,1,7,1,S,,ENSE00002469497
172,,2,179528437,179528354,172093,172176,36449,36532,1,5,1,S,,ENSE00003515890
173,,6,179528243,179528160,172287,172370,36533,36616,7,28,1,S,,ENSE00002751162
174,,4,179528076,179527993,172454,172537,36617,36700,3,10,1,S,,ENSE00002763838
175,I-band,73,179527782,179527693,172748,172837,36701,36790,51,51,1,S,,ENSE00002452717
176,,3,179527539,179527456,172991,173074,36791,36874,1,4,1,S,,ENSE00002810615
177,,5,179527343,179527260,173187,173270,36875,36958,6,5,1,S,,ENSE00002761458
178,,3,179527145,179527065,173385,173465,36959,37039,2,3,1,S,,ENSE00002825030
179,,5,179526949,179526869,173581,173661,37040,37120,1,4,1,S,,ENSE00002852676
180,,5,179526755,179526675,173775,173855,37121,37201,5,4,1,S,,ENSE00002831360
181,,2,179526569,179526486,173961,174044,37202,37285,2,1,1,S,,ENSE00002767327
182,I-band,16,179523982,179523899,176548,176631,37286,37369,8,11,1,S,PEVK17,ENSE00002523802
183,I-band,9,179523815,179523732,176715,176798,37370,37453,4,8,1,S,PEVK18,ENSE00002454830
184,,42,179523521,179523432,177009,177098,37454,37543,22,35,1,S,,ENSE00002862985
185,,8,179523278,179523195,177252,177335,37544,37627,1,3,1,S,,ENSE00002940926
186,,11,179523082,179522999,177448,177531,37628,37711,7,4,1,S,,ENSE00002961719
187,,8,179522884,179522804,177646,177726,37712,37792,5,3,1,S,,ENSE00002911976
188,,10,179522688,179522608,177842,177922,37793,37873,3,4,1,S,,ENSE00002960777
189,,8,179522494,179522414,178036,178116,37874,37954,7,4,1,S,,ENSE00002840432
190,,4,179522308,179522225,178222,178305,37955,38038,3,1,1,S,,ENSE00002949545
191,,9,179519722,179519639,180808,180891,38039,38122,4,12,1,S,,ENSE00002471163
192,,6,179519555,179519472,180975,181058,38123,38206,2,10,1,S,,ENSE00001744095
193,,28,179519261,179519172,181269,181358,38207,38296,13,42,1,S,,ENSE00002836035
194,,4,179519018,179518935,181512,181595,38297,38380,0,5,1,S,,ENSE00002759095
195,,9,179518822,179518739,181708,181791,38381,38464,5,8,1,S,,ENSE00002938148
196,,10,179518624,179518544,181906,181986,38465,38545,3,10,1,S,,ENSE00002771288
197,,12,179518428,179518348,182102,182182,38546,38626,2,8,1,S,,ENSE00002750222
198,,10,179518234,179518154,182296,182376,38627,38707,7,7,1,S,,ENSE00002834894
199,,5,179518048,179517965,182482,182565,38708,38791,3,5,1,S,,ENSE00002816759
200,,3,179517851,179517768,182679,182762,38792,38875,2,6,1,S,,ENSE00002922952
201,,4,179517658,179517575,182872,182955,38876,38959,0,3,1,S,,ENSE00002841497
202,,3,179517463,179517380,183067,183150,38960,39043,0,3,1,S,,ENSE00002962510
203,I-band,6,179517268,179517185,183262,183345,39044,39127,3,8,1,S,PEVK19,ENSE00002494297
204,I-band,15,179517074,179516991,183456,183539,39128,39211,8,25,1,S,PEVK20,ENSE00002492336
205,I-band,22,179516906,179516823,183624,183707,39212,39295,6,43,1,S,PEVK21,ENSE00002464071
206,I-band,25,179516694,179516611,183836,183919,39296,39379,5,49,1,S,,ENSE00002300978
207,I-band,22,179516476,179516393,184054,184137,39380,39463,8,39,1,S,,ENSE00002220534
208,I-band,22,179516263,179516180,184267,184350,39464,39547,9,32,1,S,PEVK 22,ENSE00002202585
209,I-band,25,179516047,179515970,184483,184560,39548,39625,10,36,1,S,,ENSE00002283431
210,I-band,23,179515561,179515478,184969,185052,39626,39709,7,34,1,S,PEVK 23,ENSE00002220552
211,I-band,12,179514998,179514891,185532,185639,39710,39817,7,25,1,S,PEVK 24,ENSE00002300936
212,I-band,13,179514621,179514544,185909,185986,39818,39895,8,24,1,S,PEVK 25,ENSE00002203845
213,,5,179514358,179514281,186172,186249,39896,39973,3,16,1,S,,ENSE00001690572
214,,3,179514058,179513975,186472,186555,39974,40057,2,18,1,S,,ENSE00001608285
215,,4,179512191,179512108,188339,188422,40058,40141,2,18,1,S,,ENSE00001734166
216,,2,179511871,179511791,188659,188739,40142,40222,1,10,1,S,,ENSE00001648884
217,,3,179511286,179511212,189244,189318,40223,40297,1,14,1,S,,ENSE00001666171
218,I-band,8,179510757,179510647,189773,189883,40298,40408,3,23,1,S,,ENSE00002238481
219,I-band,8,179509343,179509275,191187,191255,40409,40477,4,17,1,S,PEVK26,ENSE00002318158
220,I-band,100,179507044,179506964,193486,193566,40478,40558,100,96,1,S,PEVK27,ENSE00002292542
221,I-band,98,179506042,179505968,194488,194562,40559,40633,100,95,1,S,PEVK28,ENSE00002275387
222,I-band,100,179505357,179505268,195173,195262,40634,40723,100,95,1,S,,ENSE00002245689
223,I-band,100,179504837,179504775,195693,195755,40724,40786,100,95,1,S,PEVK29,ENSE00002713106
224,I-band,100,179504515,179504426,196015,196104,40787,40876,100,96,1,S,PEVK30,ENSE00002517014
225,I-band,73,179502146,179502096,198384,198434,40877,40927,79,73,1,S,PEVK31,ENSE00002219993
226,I-band,100,179501526,179501125,199004,199405,40928,41329,100,99,1,S,Ig-like 80,ENSE00002311505
227,I-band,100,179500968,179500690,199562,199840,41330,41608,100,99,1,S,Ig-like 81,ENSE00002269287
228,I-band,100,179500442,179500167,200088,200363,41609,41884,100,98,1,S,Ig-like 82,ENSE00002226235
229,I-band,100,179500031,179499892,200499,200638,41885,42024,100,98,0,A,,ENSE00002273595
230,I-band,100,179499576,179499450,200954,201080,42025,42151,100,97,1,A,,ENSE00002322024
231,I-band,100,179499356,179499093,201174,201437,42152,42415,100,98,1,S,,ENSE00002289485
232,I-band,100,179498810,179498544,201720,201986,42416,42682,100,98,1,S,Ig-like 83,ENSE00002312076
233,I-band,100,179498403,179498140,202127,202390,42683,42946,100,98,1,S,Ig-like 84,ENSE00002323886
234,I-band,100,179498053,179497914,202477,202616,42947,43086,100,97,0,A,,ENSE00002209957
235,I-band,100,179497771,179497645,202759,202885,43087,43213,100,97,1,A,,ENSE00002240435
236,I-band,100,179497519,179497253,203011,203277,43214,43480,100,98,1,S,Ig-like 85,ENSE00002218837
237,I-band,100,179497140,179496874,203390,203656,43481,43747,100,98,1,S,,ENSE00002205777
238,I-band,100,179496027,179495761,204503,204769,43748,44014,100,96,1,S,Ig-like 86,ENSE00002248061
239,I-band,100,179495670,179495531,204860,204999,44015,44154,100,96,0,A,,ENSE00002281113
240,I-band,100,179495094,179494968,205436,205562,44155,44281,100,96,1,A,,ENSE00002319532
241,I-band,100,179494170,179494028,206360,206502,44282,44424,100,96,0,A,Ig-like 87,ENSE00002240475
242,I-band,100,179490123,179490000,210407,210530,44425,44548,100,96,1,A,Ig-like 87,ENSE00002266656
243,I-band,47,179489458,179489192,211072,211338,44549,44815,59,69,1,S,Ig-like 88,ENSE00002217863
244,I-band,100,179487494,179487397,213036,213133,44816,44913,100,96,0,A,Ig-like 89,ENSE00002303983
245,I-band,100,179486735,179486567,213795,213963,44914,45082,100,96,1,A,Ig-like 89,ENSE00002204766
246,I-band,100,179486468,179486202,214062,214328,45083,45349,100,97,1,S,Ig-like 90,ENSE00002214752
247,I-band,100,179486095,179485829,214435,214701,45350,45616,100,96,1,S,Ig-like 91,ENSE00002234504
248,I-band,100,179485720,179485442,214810,215088,45617,45895,100,97,1,S,Ig-like 92,ENSE00002249778
249,I-band,100,179485352,179484944,215178,215586,45896,46304,100,96,2,A,Ig-like 93/94,ENSE00002288463
250,I-band,100,179484839,179484715,215691,215815,46305,46429,100,97,1,A,Ig-like 94,ENSE00002244839
251,I-band,100,179484614,179484348,215916,216182,46430,46696,100,97,1,S,,ENSE00002232767
252,I-band,100,179483580,179483311,216950,217219,46697,46966,100,89,1,S,Ig-like 95,ENSE00002232521
253,A-band,100,179483218,179482916,217312,217614,46967,47269,100,91,1,S,Fibronectin type-III 1,ENSE00002314727
254,A-band,100,179482808,179482506,217722,218024,47270,47572,100,92,1,S,Fibronectin type-III 2,ENSE00002221392
255,A-band,100,179482239,179482052,218291,218478,47573,47760,100,86,0,A,Fibronectin type-III 3,ENSE00002301507
256,A-band,100,179481961,179481847,218569,218683,47761,47875,100,84,1,A,Fibronectin type-III 3,ENSE00002308924
257,A-band,100,179481740,179481456,218790,219074,47876,48160,100,86,1,S,,ENSE00002262546
258,A-band,100,179481357,179481206,219173,219324,48161,48312,100,86,0,A,Fibronectin type-III 4,ENSE00002252112
259,A-band,100,179480515,179480368,220015,220162,48313,48460,100,85,1,A,Fibronectin type-III 4,ENSE00002261916
260,A-band,100,179480211,179480034,220319,220496,48461,48638,100,96,2,A,Fibronectin type-III 5,ENSE00002241338
261,A-band,100,179479695,179479574,220835,220956,48639,48760,100,82,1,A,Fibronectin type-III 5,ENSE00002314800
262,A-band,100,179479480,179479193,221050,221337,48761,49048,100,93,1,S,Ig-like 96,ENSE00002275083
263,A-band,100,179479075,179478779,221455,221751,49049,49345,100,96,1,S,Fibronectin type-III 6,ENSE00002217670
264,A-band,100,179478664,179478478,221866,222052,49346,49532,100,95,2,A,Fibronectin type-III 7,ENSE00002295349
265,A-band,100,179478003,179477888,222527,222642,49533,49648,100,96,1,A,Fibronectin type-III 7,ENSE00002281617
266,A-band,100,179477799,179477500,222731,223030,49649,49948,100,95,1,S,Fibronectin type-III 8,ENSE00002276176
267,A-band,100,179477303,179477004,223227,223526,49949,50248,100,93,1,S,Fibronectin type-III 9,ENSE00002295762
268,A-band,100,179476889,179476784,223641,223746,50249,50354,100,93,2,A,Fibronectin type-III 10,ENSE00002218112
269,A-band,100,179476681,179476485,223849,224045,50355,50551,100,94,1,A,Fibronectin type-III 10,ENSE00002300253
270,A-band,100,179476404,179476099,224126,224431,50552,50857,100,94,1,S,Fibronectin type-III 11,ENSE00002224451
271,A-band,100,179475998,179475720,224532,224810,50858,51136,100,94,1,S,Ig-like 97,ENSE00002310196
272,A-band,100,179475116,179474817,225414,225713,51137,51436,100,95,1,S,Fibronectin type-III 12,ENSE00002263850
273,A-band,100,179474713,179474411,225817,226119,51437,51739,100,95,1,S,Fibronectin type-III 13,ENSE00002291644
274,A-band,100,179474297,179473935,226233,226595,51740,52102,100,95,1,S,Ig-like 98,ENSE00002315548
275,A-band,100,179473635,179473333,226895,227197,52103,52405,100,94,1,S,Fibronectin type-III 14,ENSE00002270834
276,A-band,100,179473204,179472905,227326,227625,52406,52705,100,96,1,S,Fibronectin type-III 15,ENSE00002288726
